player,team,position,games,wins,avg_kills,avg_deaths,avg_assists,avg_dpm,avg_cspm,avg_vision,winrate,kda,weighted_winrate,weighted_kda,primary_league,region
Rekkles,Los Ratones,sup,108,86,0.8055555555555556,1.037037037037037,13.25925925925926,215.13058333333333,1.4225425925925927,114.51851851851852,79.6,13.56,79.8,13.73,EM,Europe
Rekkles,Los Ratones,sup,108,86,0.8055555555555556,1.037037037037037,13.25925925925926,215.13058333333333,1.4225425925925927,114.51851851851852,79.6,13.56,79.8,13.73,EM,Europe
Yuuji,DarkZero Dragonsteel,jng,10,10,3.2,0.8,10.0,429.12083,7.43091,45.6,100.0,16.5,100.0,13.2,NACL,North America
Soldier,Team Valiant,bot,46,30,5.586956521739131,1.4782608695652173,7.913043478260869,694.4544782608696,9.228252173913043,25.82608695652174,65.2,9.13,65.2,9.13,LFL2,Europe
Aomine,Saigon Dino,bot,29,22,6.655172413793103,1.6896551724137931,8.448275862068966,806.9987379310345,9.374520689655172,33.793103448275865,75.9,8.94,75.9,8.7,VCS,Southeast Asia
Eckas,Geekay Esports,jng,31,27,4.354838709677419,1.903225806451613,11.838709677419354,514.082464516129,6.86323870967742,45.806451612903224,87.1,8.51,87.1,8.51,AL,Europe
UNF0RGIVEN,Geekay Esports,bot,31,27,6.67741935483871,1.7419354838709677,8.129032258064516,886.0201709677419,9.959506451612905,26.0,87.1,8.5,87.1,8.5,AL,Europe
Furuy,Macko Esports,mid,19,15,3.473684210526316,1.5263157894736843,9.473684210526315,746.0506368421053,8.807515789473685,26.526315789473685,78.9,8.48,78.9,8.48,LIT,Europe
Rito,Nocturne Gale,sup,11,10,0.5454545454545454,2.272727272727273,17.454545454545453,198.40000909090907,0.9192727272727272,97.18181818181819,90.9,7.92,91.7,8.31,CT,Other
Rito,Nocturne Gale,sup,11,10,0.5454545454545454,2.272727272727273,17.454545454545453,198.40000909090907,0.9192727272727272,97.18181818181819,90.9,7.92,91.7,8.31,CT,Other
Rabelo,RED Academy,bot,28,23,5.928571428571429,1.75,8.25,789.7988535714286,8.833807142857143,36.857142857142854,82.1,8.1,82.1,8.1,CD,Latin America
XiaoXiang,Deep Cross Gaming,mid,15,12,4.066666666666666,1.8666666666666667,10.866666666666667,738.1717066666666,8.056933333333333,29.866666666666667,80.0,8.0,81.4,8.06,PCS,Southeast Asia
Royeq,Leões Porto Salvo Esports,bot,11,6,6.454545454545454,1.7272727272727273,7.2727272727272725,865.5338545454546,9.841427272727273,20.181818181818183,54.5,7.95,54.5,7.95,LPLOL,Other
CROmpir,Oxygen Gaming,mid,16,11,5.125,1.625,7.3125,785.18793125,8.90953125,35.8125,68.8,7.65,68.8,7.65,NEXO,Other
Teddy,DRX Challengers,bot,25,19,6.8,1.92,7.88,814.7305039999999,9.625424,49.12,76.0,7.65,77.1,7.64,LCKC,Korea
