team,games,wins,avg_kills,avg_deaths,avg_dragons,avg_barons,avg_towers,avg_gamelength,winrate,weighted_winrate,primary_league,region
Geekay Esports,95,79,20.526315789473685,12.021052631578947,2.4526315789473685,0.6526315789473685,8.473684210526315,30.1,83.2,83.2,AL,Europe
REJECT,60,47,21.533333333333335,12.333333333333334,2.55,0.6666666666666666,8.266666666666667,29.6,78.3,80.5,LJL,Japan
Los Ratones,109,87,17.908256880733944,12.899082568807339,2.926605504587156,0.7339449541284404,8.055045871559633,31.8,79.8,79.8,EM,Europe
Macko Esports,19,15,18.63157894736842,11.789473684210526,2.0,0.631578947368421,8.526315789473685,31.0,78.9,78.9,LIT,Europe
LEO,14,11,25.285714285714285,18.642857142857142,2.142857142857143,0.42857142857142855,7.857142857142857,30.6,78.6,78.6,NLC,Europe
Hyper Vortex Esports,14,11,19.642857142857142,13.928571428571429,2.642857142857143,0.7857142857142857,8.214285714285714,33.4,78.6,78.6,VCS,Southeast Asia
T1 Esports Academy Rookies,122,89,22.0,13.245901639344263,2.5737704918032787,0.6065573770491803,7.663934426229508,30.6,73.0,73.0,LAS,Latin America
Dream in 24,40,29,24.2,15.95,2.525,0.375,7.675,28.5,72.5,72.5,LJL,Japan
RED Academy,47,34,18.829787234042552,14.340425531914894,2.6808510638297873,0.6808510638297872,7.23404255319149,32.2,72.3,72.3,CD,Latin America
FlameHard,54,39,21.796296296296298,17.444444444444443,2.574074074074074,0.6666666666666666,8.537037037037036,32.1,72.2,72.2,LPLOL,Other
Nocturne Gale,50,36,21.36,14.62,2.94,0.7,7.58,32.5,72.0,72.0,CT,Other
Deep Cross Gaming,122,86,21.614754098360656,14.87704918032787,2.5901639344262297,0.4672131147540984,7.032786885245901,29.3,70.5,71.5,PCS,Southeast Asia
Berlin International Gaming,103,73,19.436893203883496,13.37864077669903,2.3980582524271843,0.6601941747572816,7.766990291262136,30.7,70.9,70.9,PRM,Europe
Gen.G,167,117,16.095808383233532,12.1437125748503,2.586826347305389,0.6287425149700598,7.07185628742515,32.0,70.1,70.2,LCK,Korea
Luminosity Gaming,64,48,17.75,9.296875,2.9375,0.75,7.84375,32.5,75.0,70.1,NACL,North America
LNG Academy,10,7,21.6,16.7,1.5,0.5,6.9,27.9,70.0,70.0,Asia Master,Other
Kiedyś Miałem Fun,26,18,20.423076923076923,16.884615384615383,2.1153846153846154,0.6538461538461539,8.0,32.8,69.2,69.2,RL,Other
Team Phantasma,94,65,20.25531914893617,14.702127659574469,2.648936170212766,0.723404255319149,7.659574468085107,32.2,69.1,69.1,HLL,Europe
GIANTX Pride,87,60,17.275862068965516,13.195402298850574,2.4367816091954024,0.7816091954022989,7.64367816091954,33.0,69.0,69.0,LVP SL,Europe
KT Rolster Challengers,129,89,19.790697674418606,14.790697674418604,2.7751937984496124,0.49612403100775193,7.1937984496124034,31.3,69.0,68.6,LCKC,Korea
Esprit Shōnen,76,52,19.31578947368421,15.973684210526315,2.789473684210526,0.7368421052631579,7.828947368421052,32.7,68.4,68.4,LFL2,Europe
Nightbirds,82,56,18.573170731707318,14.378048780487806,2.4390243902439024,0.6219512195121951,7.780487804878049,31.4,68.3,68.3,HM,Europe
Otter Side,22,15,19.954545454545453,14.363636363636363,2.590909090909091,0.8181818181818182,7.318181818181818,31.5,68.2,68.2,LPLOL,Other
FlyQuest,91,64,16.384615384615383,12.274725274725276,2.6263736263736264,0.6923076923076923,7.230769230769231,33.2,70.3,68.1,LTA N,North America
Karmine Corp Blue,127,85,17.086614173228348,12.913385826771654,2.8031496062992125,0.7952755905511811,7.7795275590551185,32.8,66.9,66.9,LFL,Europe
Cusprills,15,10,19.066666666666666,13.933333333333334,2.8666666666666667,0.9333333333333333,8.0,34.1,66.7,66.7,CD,Latin America
QT DIG∞,64,41,18.875,13.453125,2.34375,0.421875,7.375,29.3,64.1,66.3,LJL,Japan
