champion,games,winrate,avg_kills,avg_deaths,avg_assists,kda
Rell,3019,0.5011593242795628,0.8817489234845975,4.2262338522689635,11.961245445511759,3.038874519946704
Xin Zhao,2691,0.48792270531400966,3.324043106651802,3.719435154217763,7.754738015607581,2.9786192426815865
Varus,2449,0.5353205389955084,5.055941200489996,2.986525112290731,6.428746427113107,3.84550177741318
Ambessa,2417,0.4911046752172114,3.5800579230450973,3.264377327265205,5.181216383947042,2.6839036755386565
Alistar,2407,0.5126713751557956,0.6389696717906107,4.0344827586206895,11.105110095554632,2.910925754299248
Corki,2392,0.4569397993311037,4.745401337792642,2.8612040133779266,5.832357859531773,3.6969608416130915
Ezreal,2292,0.4886561954624782,4.396160558464223,2.4419720767888307,5.711605584642234,4.139181704484545
Rumble,2267,0.5403617115130128,3.6290251433612704,3.3696515218350243,6.713277459197177,3.06924990181961
Rakan,2247,0.5149087672452158,0.6128170894526035,3.2118380062305296,11.910547396528704,3.8991270611057223
Nautilus,2241,0.4747880410531013,0.8759482373940205,4.738955823293173,10.680053547523427,2.4385122410546134
Taliyah,2177,0.5466237942122186,3.679375287092329,3.112080845199816,8.1070280202113,3.787306273062731
Leona,2023,0.4750370736529906,0.8042511122095897,4.705388037567968,10.304003954522985,2.3607521798508246
Wukong,1953,0.4941116231438812,3.6390168970814134,3.2795698924731185,7.178187403993856,3.2983606557377043
Vi,1941,0.521380731581659,3.132405976300876,3.7094281298299845,8.266357547655847,3.072916666666667
Azir,1938,0.4938080495356037,3.73890608875129,3.069659442724458,5.727554179566564,3.083879643637586
K'Sante,1887,0.4599894011658718,2.56120826709062,2.9401165871754107,5.55431902490726,2.76027397260274
Kai'Sa,1882,0.5318809776833157,6.141870350690755,2.6540913921360256,5.587672688629118,4.419419419419419
Sion,1748,0.5034324942791762,2.204233409610984,2.9816933638443937,6.966819221967963,3.0757866462010743
Ahri,1636,0.480440097799511,4.090464547677262,2.5012224938875307,7.437041564792176,4.608748778103617
Braum,1631,0.5180870631514408,0.5058246474555488,3.5450643776824036,11.895769466584918,3.4982704946385335
Jhin,1613,0.45815251084934905,4.891506509609424,2.2665840049597024,6.442653440793553,5.000547045951861
Orianna,1583,0.5325331648768161,3.7479469361970943,2.7359444093493366,8.365761212886923,4.42761486954514
Aurora,1550,0.4780645161290323,4.352258064516129,2.853548387096774,6.239354838709677,3.71173411711508
Sejuani,1549,0.47320852162685606,2.2336991607488703,3.0290510006455778,9.271788250484184,3.798380221653879
Pantheon,1507,0.49767750497677504,4.635036496350365,3.9190444591904448,7.016589250165892,2.973078225533355
Jayce,1489,0.5003357958361316,3.7723304231027535,3.3398253861652116,5.7145735392881125,2.840538910114619
Miss Fortune,1451,0.5134390075809786,4.671261199172984,2.8532046864231564,6.339765678842178,3.859178743961353
Viktor,1440,0.4666666666666667,3.607638888888889,2.9256944444444444,6.325,3.3949679563256585
Gwen,1371,0.5280816921954777,3.9606126914660833,3.6032093362509117,4.75492341356674,2.4188259109311745
Ryze,1339,0.4921583271097834,3.753547423450336,3.056011949215833,6.356235997012696,3.3081622678396867
Maokai,1285,0.5159533073929962,1.7642023346303501,3.383657587548638,9.323735408560312,3.276908923643054
Renekton,1273,0.4917517674783975,3.021995286724273,3.3511390416339357,5.130400628436764,2.4327238631036097
Poppy,1271,0.5586152635719905,1.8772619984264358,3.4051927616050355,8.575924468922109,3.069778188539741
Galio,1236,0.48462783171521034,2.377831715210356,3.105177993527508,8.608414239482201,3.53804064616988
Neeko,1210,0.5239669421487604,1.3694214876033057,3.850413223140496,9.797520661157025,2.900193174500966
Yone,1206,0.5240464344941956,3.58955223880597,3.086235489220564,5.397180762852405,2.911875335840946
Skarner,1086,0.4889502762430939,2.3738489871086554,3.4263351749539597,9.283609576427256,3.4023112066648746
Xayah,1070,0.5411214953271029,4.7878504672897195,2.660747663551402,5.901869158878505,4.017562346329469
Jax,1067,0.5267104029990628,3.5238987816307406,3.2080599812558575,4.501405810684161,2.501606777680397
Aatrox,982,0.5193482688391039,3.4063136456211813,3.1038696537678208,5.1507128309572305,2.7568897637795273
Sivir,978,0.5071574642126789,4.3323108384458076,2.67280163599182,7.137014314928425,4.291124713083397
