league,games,total_rows,playoff_rate,avg_gamelength,avg_kills,avg_dragons,avg_barons,weight,tier,region,teams,players
LPL,805,1610,23.1,32.5,15.0,2.21,0.54,2.0,A,China,16,99
LCK,555,1110,14.2,32.3,14.4,2.2,0.52,2.0,A,Korea,10,68
LCKC,542,1084,11.8,32.4,15.7,2.2,0.52,0.8,D,Korea,10,81
LAS,489,978,11.9,30.3,18.6,2.03,0.44,1.0,C,Latin America,10,75
EM,440,880,0.0,32.0,15.9,2.26,0.54,1.0,C,Europe,56,314
LJL,374,748,8.3,30.2,18.1,2.07,0.4,1.5,B,Japan,23,181
LFL,318,636,23.0,34.0,14.6,2.43,0.64,1.0,C,Europe,12,70
LEC,306,612,35.3,33.6,13.5,2.39,0.62,2.0,A,Europe,11,62
PRM,303,606,24.8,32.5,16.6,2.31,0.59,1.0,C,Europe,13,75
PCS,303,606,22.1,30.1,19.3,1.96,0.43,1.5,B,Southeast Asia,14,107
CD,301,602,25.6,32.8,15.6,2.25,0.58,1.0,C,Latin America,25,114
AL,293,586,18.4,31.8,17.9,2.2,0.55,1.0,C,Europe,13,107
LCP,291,582,28.9,32.3,13.9,2.2,0.52,1.0,C,Southeast Asia,13,81
NACL,276,552,28.6,33.2,15.3,2.36,0.58,0.8,D,North America,17,104
LVP SL,264,528,22.7,32.2,15.1,2.25,0.55,1.0,C,Europe,12,91
NLC,249,498,57.8,31.4,17.2,2.23,0.47,1.0,C,Europe,21,181
RL,240,480,22.9,32.4,17.3,2.22,0.54,1.0,C,Other,12,84
TCL,240,480,30.0,33.1,16.5,2.26,0.6,1.5,B,Europe,9,84
LFL2,233,466,21.9,32.6,16.9,2.33,0.59,1.0,C,Europe,11,79
LTA S,222,444,13.1,32.9,14.2,2.29,0.55,2.0,A,Latin America,13,79
HLL,221,442,41.6,31.9,17.7,2.25,0.52,1.0,C,Europe,13,123
LTA N,213,426,14.1,33.4,14.0,2.35,0.58,2.0,A,North America,12,69
ROL,208,416,14.4,31.8,16.6,2.29,0.51,1.0,C,Other,9,101
HC,200,400,31.0,31.4,19.1,2.28,0.52,1.0,C,Other,11,93
EBL,191,382,56.5,30.1,18.1,2.1,0.43,1.0,C,Europe,14,114
HM,190,380,31.1,31.1,16.5,2.18,0.52,1.0,C,Europe,9,79
Asia Master,180,360,0.0,29.8,17.6,2.04,0.41,1.0,C,Other,32,195
LPLOL,160,320,8.8,31.1,18.0,2.17,0.52,1.0,C,Other,23,211
NEXO,154,308,14.9,33.8,17.2,2.4,0.62,1.0,C,Other,20,127
LRN,151,302,33.8,32.4,17.2,2.25,0.55,1.0,C,Other,14,111
VCS,141,282,3.5,31.5,18.1,2.27,0.51,1.5,B,Southeast Asia,17,104
LRS,139,278,41.7,32.9,16.4,2.3,0.57,1.0,C,Other,10,96
LIT,139,278,51.1,31.2,16.4,2.25,0.53,1.0,C,Europe,8,83
HW,114,228,0.0,31.6,17.7,2.24,0.52,1.0,C,Other,20,109
WLDs,96,192,0.0,32.6,15.2,2.31,0.54,3.0,S,International,19,98
MSI,80,160,0.0,32.6,14.2,2.29,0.54,3.0,S,International,10,52
DCup,75,150,0.0,32.6,15.6,2.29,0.53,1.0,C,China,15,77
PRMP,73,146,0.0,29.8,20.0,1.99,0.45,1.0,C,Other,33,170
KeSPA,56,112,0.0,29.3,17.7,2.02,0.31,1.0,C,Korea,14,75
CT,50,100,100.0,32.8,17.9,2.32,0.6,1.0,C,Other,10,56
ASI,42,84,0.0,30.5,17.1,2.06,0.46,1.0,C,Other,8,41
LTA,40,80,100.0,33.2,15.0,2.21,0.54,1.0,C,Other,11,57
FST,35,70,0.0,31.2,14.7,2.09,0.49,1.0,C,Other,5,26
EWC,33,66,100.0,31.2,14.2,2.27,0.5,1.0,C,International,12,62
IC,28,56,0.0,31.8,17.9,2.25,0.55,1.0,C,Other,12,63
